Name,MC_USD_Billion,MC_GBP_Billion,MC_EUR_Billion,MC_INR_Billion
JPMorgan Chase,432.92,329.02,367.98,35932.36
Bank of America,231.52,175.96,196.79,19216.16
Industrial and Commercial Bank of China,194.56,147.87,165.38,16148.48
Agricultural Bank of China,160.68,122.12,136.58,13336.44
HDFC Bank,157.91,120.01,134.22,13106.53
Wells Fargo,155.87,118.46,132.49,12937.21
HSBC Holdings PLC,148.9,113.16,126.56,12358.7
Morgan Stanley,140.83,107.03,119.71,11688.89
China Construction Bank,139.82,106.26,118.85,11605.06
Bank of China,136.81,103.98,116.29,11355.23
